iso3,year,education_share,health_social_share,education_health_share,manufacturing_share
ECU,2011,5.314549529217052,2.411976654867397,7.726526184084449,9.686614559823882
ECU,2012,5.314637509051855,2.4476368827820147,7.76227439183387,9.64311795207468
ECU,2013,5.271365197086665,2.2182668702275428,7.489632067314208,9.983827464167966
ECU,2014,4.996511846974829,2.2493679279199035,7.245879774894732,10.016229214285106
ECU,2015,4.658799200246339,2.2889066970948755,6.947705897341214,10.183099118000907
ECU,2016,4.633586049809022,2.273371942393822,6.906957992202845,9.966372288003587
ECU,2017,4.221528027690056,2.3776050406576386,6.599133068347694,10.000773324060184
ECU,2018,4.0547044514108475,2.3408654825233475,6.395569933934195,10.109348348467943
ECU,2019,4.029577984324134,2.44245786915936,6.472035853483494,9.472518184009468
ECU,2020,4.103880567324168,2.5897741905392944,6.693654757863463,9.484266616916333
ECU,2021,3.706836095120082,2.2181093345525844,5.9249454296726665,9.870085960597313
GTM,1998,4.824742013833237,2.3491104562995475,7.173852470132784,16.752518216227546
GTM,1999,4.734671661322538,2.317521599718381,7.052193261040919,16.52423893994934
GTM,2000,4.639363571145364,2.2833815282617618,6.922745099407126,16.276909803976285
GTM,2001,4.648413873404022,2.3049218273219014,6.953335700725923,16.06800867761937
GTM,2002,4.650565273389768,2.3202078356689158,6.970773109058683,15.861186028335224
GTM,2003,4.649957056593927,2.338535130510982,6.988492187104909,15.677190528057277
GTM,2004,4.645742059525408,2.3547893578946555,7.0005314174200635,15.505229302733749
GTM,2005,4.793889557224296,2.308998737084859,7.102888294309155,16.52419617773892
GTM,2006,4.945497277725422,2.2519864358954464,7.197483713620868,17.598933897670626
GTM,2007,4.939337512672501,2.254712101462769,7.19404961413527,17.38954751412079
GTM,2008,4.939800112700907,2.2742314536697092,7.2140315663706165,17.190692159598242
GTM,2009,4.938481874678544,2.3033094391181868,7.241791313796731,16.96830706398913
GTM,2010,4.934965123178486,2.320449388507079,7.255414511685565,16.764915895389784
GTM,2011,5.041701904208646,2.164149063656384,7.205850967865031,15.098794602569663
GTM,2012,4.782994189117803,1.8612234548335973,6.6442176439514,14.330692023243529
GTM,2013,4.779563437552247,1.874708325981204,6.654271763533451,14.143525784918044
GTM,2014,4.774302167868604,1.8836965846638172,6.657998752532421,13.966022598196993
GTM,2015,4.300812542000448,1.4161984394500209,5.717010981450469,12.819736743858602
GTM,2016,4.1634213292091395,1.4899930090444575,5.653414338253597,13.493484757008755
GTM,2017,4.197849040703073,1.4755598373221948,5.673408878025267,12.733783358737993
GTM,2018,4.112260291055932,1.6477374151744575,5.75999770623039,12.762330630240948
GTM,2019,4.474369190397529,1.5546597009146395,6.029028891312168,11.646320650506194
GTM,2020,3.740400989376596,1.5201804372819865,5.260581426658582,12.537329061746894
GTM,2021,3.1265761601264592,1.3983129079346157,4.524889068061075,13.337652827459259
HND,1998,4.007398551462368,0.9768934913108465,4.984292042773214,21.377191883936803
HND,1999,4.0469603322541605,1.0005123341726894,5.04747266642685,20.405071018236914
HND,2000,3.8014161249671354,0.9390753699508833,4.740491494918019,20.29576211587254
HND,2001,3.5491140601448286,0.8825036101653824,4.431617670310211,20.155537519368405
HND,2002,3.3047270860338953,0.8251944507637544,4.129921536797649,20.124558739619246
HND,2003,3.5423338801228974,0.8875973155236161,4.429931195646514,19.764815393428112
HND,2004,3.731688425580673,0.9345024148713829,4.666190840452056,19.79910478525408
HND,2005,3.7365398892058774,0.9359793522151485,4.672519241421026,19.573718416683853
HND,2006,3.423457990791253,1.045291534335253,4.468749525126506,18.07531873508897
HND,2007,3.5397542026466593,1.0234116101229582,4.5631658127696175,17.914018544173732
HND,2008,3.544384171579079,1.0293618804373852,4.573746052016464,17.675564119813462
HND,2009,3.4599257859211345,0.895316967673832,4.3552427535949665,16.18682413931954
HND,2010,3.151348685290726,1.0600842280080072,4.211432913298733,15.754304956369268
HND,2011,3.779562016020092,0.9946785582835972,4.774240574303689,16.49332015055658
HND,2012,3.345922475010177,0.9751361759593701,4.3210586509695466,16.517449261128302
HND,2013,3.2368992199060953,0.9571453745228957,4.194044594428991,15.512338591108007
HND,2014,3.0715285584060577,1.0037387826468558,4.075267341052913,18.673234762120025
HND,2015,3.1167756745502215,0.9275670402631452,4.044342714813367,17.742533093621063
