iso3,year,cate,cate_lb,cate_ub,k_l2,antisys_l5,milexp_gdp_l1,dem_l1,ln_gdppc,resource_rents,urban_share,decade,v2x_polyarchy_l1,abs_red_l1
COL,1998,-0.2531706546315705,,,11.209949887696418,1.526,2.80178788575936,1.0,8.346126778320091,2.05430024171781,73.3667607289768,1990,0.554,1.7
COL,1999,-0.26626396595647195,,,11.225648689778458,1.526,3.44098574204708,1.0,8.285794005781797,4.32181182919172,73.8699996302493,1990,0.546,1.6
COL,2000,-0.2674588363398595,,,11.253595519984357,1.5638,3.76274205786296,1.0,8.298243214136546,5.79241275178545,74.3493570179247,2000,0.538,1.7
COL,2001,-0.2609388253865041,,,11.272129062289972,1.5656,3.03168353865852,1.0,8.299163516306239,3.898278216233,74.7938371677676,2000,0.55,1.6
COL,2002,-0.264858753400594,,,11.214030863367304,1.5674,3.32387281880532,1.0,8.308515733738236,3.95007189063968,75.192444355543,2000,0.542,1.6
COL,2003,-0.2794130542387553,,,11.214767350081534,1.4926,3.41712762358197,1.0,8.331869200280558,4.56302920257189,75.5341828570154,2000,0.534,1.4
COL,2004,-0.28777143214039974,,,11.20422392976873,1.4178,3.46398869081496,1.0,8.369137611599138,5.92813672580534,75.8080569479496,2000,0.535,1.3
COL,2005,-0.29597195277029115,,,11.186381904352691,1.3756,3.46501517406307,1.0,8.402292955782052,6.26115845587611,76.004938901378,2000,0.537,1.3
COL,2006,-0.3064748479348995,,,11.173559188316291,1.3694,3.37467969392646,1.0,8.4540477111501,7.29062678619221,76.1619191918164,2000,0.542,1.3
COL,2007,-0.3137768966861856,,,11.164431365068474,1.3631999999999997,3.29582499135229,1.0,8.506587672816924,6.6997731158152,76.3144038775849,2000,0.571,1.2
COL,2008,-0.3223585431547847,,,11.170437782518537,1.3960000000000001,3.28630170949445,1.0,8.526860684740482,8.78822691726813,76.4596761810047,2000,0.583,1.8
COL,2009,-0.319098335939282,,,11.167513057470025,1.4148,3.73724698565115,1.0,8.526543583446504,4.85703346033699,76.5964145836792,2000,0.585,2.1
COL,2010,-0.3350452631081205,,,11.191564551745778,1.3632000000000002,3.88696383706353,1.0,8.559149673592595,6.70109253013503,76.7232975672119,2010,0.587,2.3
COL,2011,-0.33848082752028896,,,11.22051527798801,1.3115999999999999,3.63691504613462,1.0,8.615607839856338,9.86049155221695,76.839003613206,2010,0.624,2.6
COL,2012,-0.3415995860269517,,,11.235860987614782,1.2238000000000002,3.07710698956258,1.0,8.643959081011802,8.29683079092449,76.942211203265,2010,0.66,2.7
COL,2013,-0.34329176454221805,,,11.248441878250523,1.1736,3.15600586340429,1.0,8.684537467094968,7.3843393604104,77.0315988189922,2010,0.661,2.7
COL,2014,-0.34258326341396605,,,11.264973208770762,1.1266,3.27226285651869,1.0,8.719617954543367,6.53057789835517,77.1058449419909,2010,0.669,2.9
COL,2015,-0.3345930823529957,,,11.290026662892988,1.0796,3.10825884811044,1.0,8.740099099350715,3.70587614553491,77.1636280538646,2010,0.677,3.1
COL,2016,-0.33328087468875817,,,11.331146074793718,1.0326,3.10996008410671,1.0,8.750852565595604,3.09947714544169,77.2036266362166,2010,0.681,3.1
COL,2017,-0.33258580067493093,,,11.342566278291498,0.9831999999999999,3.07113102611539,1.0,8.749839837418161,3.72823321108347,77.2245191706503,2010,0.682,3.1
