iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
CRI,Costa Rica,1998,4.3,4.115616569519043,100,-0.18438343048095707,0.18438343048095707
CRI,Costa Rica,1999,4.2,4.063348236083985,100,-0.1366517639160154,0.1366517639160154
CRI,Costa Rica,2000,4.0,3.9976322937011717,100,-0.0023677062988283204,0.0023677062988283204
CRI,Costa Rica,2001,3.8,3.8867916107177733,100,0.08679161071777353,0.08679161071777353
CRI,Costa Rica,2002,3.8,3.923298187255859,100,0.12329818725585939,0.12329818725585939
CRI,Costa Rica,2003,4.1,4.19782039642334,100,0.09782039642333995,0.09782039642333995
CRI,Costa Rica,2004,4.2,4.377501182556152,100,0.17750118255615188,0.17750118255615188
CRI,Costa Rica,2005,4.3,4.607019920349121,100,0.30701992034912085,0.30701992034912085
CRI,Costa Rica,2006,4.3,4.689166336059571,100,0.38916633605957074,0.38916633605957074
CRI,Costa Rica,2007,4.4,4.694503669738769,100,0.29450366973876907,0.29450366973876907
CRI,Costa Rica,2008,4.4,4.722382583618164,100,0.32238258361816374,0.32238258361816374
CRI,Costa Rica,2009,4.4,4.711478157043457,100,0.3114781570434566,0.3114781570434566
CRI,Costa Rica,2010,4.6,5.094060821533203,100,0.4940608215332034,0.4940608215332034
CRI,Costa Rica,2011,4.6,4.926552810668945,100,0.3265528106689457,0.3265528106689457
CRI,Costa Rica,2012,4.6,4.777385940551758,100,0.17738594055175838,0.17738594055175838
CRI,Costa Rica,2013,4.5,4.761959648132324,100,0.26195964813232386,0.26195964813232386
CRI,Costa Rica,2014,4.6,4.896201477050782,100,0.2962014770507819,0.2962014770507819
CRI,Costa Rica,2015,4.6,4.958170280456543,100,0.35817028045654364,0.35817028045654364
CRI,Costa Rica,2016,4.6,4.919447898864746,100,0.31944789886474645,0.31944789886474645
CRI,Costa Rica,2017,4.6,5.031358413696289,100,0.43135841369628913,0.43135841369628913
CRI,Costa Rica,2018,4.6,5.091155891418457,100,0.4911558914184573,0.4911558914184573
CRI,Costa Rica,2019,4.5,4.948808822631836,100,0.4488088226318361,0.4488088226318361
CRI,Costa Rica,2020,4.4,4.684215927124024,100,0.28421592712402344,0.28421592712402344
CRI,Costa Rica,2021,4.4,4.805163612365723,100,0.4051636123657225,0.4051636123657225
CRI,Costa Rica,2022,4.6,5.082251510620117,100,0.4822515106201175,0.4822515106201175
CRI,Costa Rica,2023,4.6,5.165652885437011,100,0.5656528854370118,0.5656528854370118
CRI,Costa Rica,2024,4.8,5.386379814147949,100,0.586379814147949,0.586379814147949
DOM,Dominican Republic,1990,2.3,1.9006023788452149,100,-0.39939762115478494,0.39939762115478494
DOM,Dominican Republic,1991,2.3,2.0712725830078127,100,-0.22872741699218713,0.22872741699218713
DOM,Dominican Republic,1992,2.2,1.952291145324707,100,-0.24770885467529324,0.24770885467529324
DOM,Dominican Republic,1993,2.3,2.2216508102416994,100,-0.07834918975830041,0.07834918975830041
DOM,Dominican Republic,1994,2.3,2.5057100296020507,100,0.20571002960205087,0.20571002960205087
DOM,Dominican Republic,1995,2.4,2.8408535003662108,100,0.44085350036621085,0.44085350036621085
DOM,Dominican Republic,1996,2.3,3.0366025161743164,100,0.7366025161743166,0.7366025161743166
DOM,Dominican Republic,1997,2.1,2.6879067611694336,100,0.5879067611694335,0.5879067611694335
DOM,Dominican Republic,1998,1.9,2.7109840393066404,100,0.8109840393066405,0.8109840393066405
DOM,Dominican Republic,1999,1.7,2.4671825790405273,100,0.7671825790405273,0.7671825790405273
DOM,Dominican Republic,2000,1.4,2.2571873092651367,100,0.8571873092651368,0.8571873092651368
DOM,Dominican Republic,2001,1.6,2.4359867095947267,100,0.8359867095947267,0.8359867095947267
DOM,Dominican Republic,2002,1.6,2.5079305267333982,100,0.9079305267333981,0.9079305267333981
DOM,Dominican Republic,2003,1.3,2.070480613708496,100,0.7704806137084959,0.7704806137084959
DOM,Dominican Republic,2004,1.2,2.0725270080566407,100,0.8725270080566407,0.8725270080566407
DOM,Dominican Republic,2005,1.3,2.24205020904541,100,0.9420502090454101,0.9420502090454101
DOM,Dominican Republic,2006,0.8,1.7527191162109375,100,0.9527191162109374,0.9527191162109374
DOM,Dominican Republic,2007,1.3,2.3735914993286134,100,1.0735914993286133,1.0735914993286133
DOM,Dominican Republic,2008,1.8,2.9774152755737306,100,1.1774152755737306,1.1774152755737306
DOM,Dominican Republic,2009,1.9,2.823131446838379,100,0.9231314468383789,0.9231314468383789
DOM,Dominican Republic,2010,2.0,2.717892723083496,100,0.7178927230834962,0.7178927230834962
DOM,Dominican Republic,2011,1.9,2.4793018341064452,100,0.5793018341064453,0.5793018341064453
DOM,Dominican Republic,2012,1.9,2.361474914550781,100,0.46147491455078127,0.46147491455078127
DOM,Dominican Republic,2013,1.7,2.2472293090820314,100,0.5472293090820315,0.5472293090820315
DOM,Dominican Republic,2014,1.8,2.5982978439331053,100,0.7982978439331052,0.7982978439331052
DOM,Dominican Republic,2015,1.6,2.309799118041992,100,0.709799118041992,0.709799118041992
DOM,Dominican Republic,2016,1.7,2.4372095489501953,100,0.7372095489501953,0.7372095489501953
DOM,Dominican Republic,2017,1.7,2.6104848861694334,100,0.9104848861694335,0.9104848861694335
DOM,Dominican Republic,2018,1.6,2.29496337890625,100,0.6949633789062499,0.6949633789062499
DOM,Dominican Republic,2019,1.6,2.438335075378418,100,0.838335075378418,0.838335075378418
DOM,Dominican Republic,2020,1.9,2.98669864654541,100,1.0866986465454103,1.0866986465454103
DOM,Dominican Republic,2021,2.2,2.9634549713134763,100,0.7634549713134762,0.7634549713134762
DOM,Dominican Republic,2022,2.3,3.208912200927734,100,0.9089122009277344,0.9089122009277344
DOM,Dominican Republic,2023,2.1,2.9423587036132814,100,0.8423587036132814,0.8423587036132814
DOM,Dominican Republic,2024,1.8,2.601909866333008,100,0.801909866333008,0.801909866333008
ECU,Ecuador,1994,-0.9,-1.8811053085327147,100,-0.9811053085327147,0.9811053085327147
ECU,Ecuador,1995,-0.8,-1.9466360473632813,100,-1.1466360473632813,1.1466360473632813
ECU,Ecuador,1996,-0.9,-2.252040023803711,100,-1.3520400238037111,1.3520400238037111
ECU,Ecuador,1997,-1.0,-2.2532797622680665,100,-1.2532797622680665,1.2532797622680665
ECU,Ecuador,1998,-0.9,-2.4519535446166993,100,-1.5519535446166994,1.5519535446166994
ECU,Ecuador,1999,-1.1,-2.666831817626953,100,-1.566831817626953,1.566831817626953
